ID,invoice_ID,lineNumber,description,quantity,unitPrice,totalAmount
74c3c657-c0af-4b39-b05e-93080a734045,041bc03a-3a13-454b-8c35-8607535140dd,1,Support Services,2,1000.00,2000.00
63e301da-0acf-463c-ba29-22a9599373a6,041bc03a-3a13-454b-8c35-8607535140dd,2,Consulting Services,3,2000.00,6000.00
344224cb-2b6d-413b-a6d2-abe1b242b82f,5eeef8ba-31bc-4546-8a64-535a10ac4f90,1,Consulting Services,3,1250.00,3750.00
ef52f2db-02b0-4e19-9a1f-37552c473584,5eeef8ba-31bc-4546-8a64-535a10ac4f90,2,Hardware Units,4,2250.00,9000.00
ca43b1c2-900d-4ac0-ac56-66e4ceb72734,5eeef8ba-31bc-4546-8a64-535a10ac4f90,3,Maintenance,5,3250.00,16250.00
1e39c3e1-ff43-48b6-9ee2-fd7b0c002f60,a9e8d359-71c8-4a7b-82a0-d4525d64ff6b,1,Hardware Units,4,1500.00,6000.00
b517dc39-9fd1-4b0e-86c5-f9fa7ee9646e,a9e8d359-71c8-4a7b-82a0-d4525d64ff6b,2,Maintenance,5,2500.00,12500.00
8c366bb8-1d80-4b67-91bd-4489d4686ab2,a57629ad-1519-44a7-8602-9c17933c9a21,1,Maintenance,2,1750.00,3500.00
05409e30-0710-4e13-acff-36c005340c3c,a57629ad-1519-44a7-8602-9c17933c9a21,2,Training,3,2750.00,8250.00
cd3918c5-abe5-4592-a74a-e5b7a32cbc41,a57629ad-1519-44a7-8602-9c17933c9a21,3,Cloud Subscription,4,3750.00,15000.00
6a7833d0-a033-4068-85e8-8a5908c675c2,35de2835-d3c0-4598-a3e9-e158813de3cd,1,Training,3,2000.00,6000.00
b638ea8c-5159-4832-887b-dc39bb2cc0aa,35de2835-d3c0-4598-a3e9-e158813de3cd,2,Cloud Subscription,4,3000.00,12000.00
9e013ed0-3ccd-4557-b8eb-e5da4d7b67b4,dbb4c3b3-ef06-455c-9b21-1d0f6d606512,1,Cloud Subscription,4,1000.00,4000.00
ad8b832f-171c-4f86-b2e3-4e1b0b26c3f4,dbb4c3b3-ef06-455c-9b21-1d0f6d606512,2,Spare Parts,5,2000.00,10000.00
